Received Date,Employer Name,Employer City,Employer State,Employer Zip Code,Industry,Complaint Type,Minimum Wage,Tips,Prevailing Wage,Independent contractor misclassification,Retaliation,Overtime,Non-payment of wages,Vacation Pay,Meal Period,Child Labor,Unpaid commissions,Personnel records,Other,Domestic Worker Law Violation,Earned Sick Leave,Temp Workers' Right to Know,Minor Working Too Early or Too Late,Minor Working Too Many Hours,Minor Working Without a Permit,Minor Working in a Prohibited Occupation,Minor Serving Alcohol,Minor Unsupervised after 8pm,Number
3/4/2026,Essex North Shore Agricultural & Technical School District                                                                                            ,Hathorne                           ,MA   ,01937          ,Government                                                                                          ,Non-Payment of Wage                               , , , , , , , , , , , , , , ,Yes, , , , , , , ,1329076
3/4/2026,"Independence Associates, Inc.                                                                                                                         ",East Bridgewater                   ,MA   ,02333          ,Services                                                                                            ,Non-Payment of Wage                               , , , , , ,Yes,Yes, ,Yes, , , , , , , , , , , , , ,1328952
3/4/2026,"Spectrum Tile & Carpet, Inc.                                                                                                                          ",Westport                           ,MA   ,02790          ,Retail/Sales                                                                                        ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1329011
3/4/2026,"Spectrum Tile & Carpet, Inc.                                                                                                                          ",Westport                           ,MA   ,02790          ,Retail/Sales                                                                                        ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1329013
3/4/2026,Wellsense Health Plan                                                                                                                                 ,Boston                             ,MA   ,02129          ,Services                                                                                            ,Non-Payment of Wage                               , , , , , , , , , , , , ,Yes, , , , , , , , , ,1328948
3/4/2026,Zumalt Tree Experts LLC                                                                                                                               ,Attleboro                          ,MA   ,02703          ,Landscaping/Snow Removal                                                                            ,Non-Payment of Wage                               , , , , , , , , , , , , , , ,Yes, , , , , , , ,1329074
3/3/2026,Cape Heritage MA SNF LLC                                                                                                                              ,Sandwich                           ,MA   ,02563          ,Hospitals/Nursing Home/Healthcare                                                                   ,Non-Payment of Wage                               , , , , , ,Yes, , , , , , , , , , , , , , , , ,1328806
3/3/2026,"Eastern Bus Co., Inc.                                                                                                                                 ",Medford                            ,MA   ,02155          ,Transportation/Delivery                                                                             ,Non-Payment of Wage                               , , , , ,Yes, ,Yes, , , , , , , ,Yes, , , , , , , ,1328763
3/3/2026,Metro One Loss Prevention Services                                                                                                                    ,Quincy                             ,MA   ,02119          ,Security                                                                                            , , , , , , , , , , , , , ,Yes, , , , , , , , , ,1328813
3/3/2026,Northeast Security                                                                                                                                    ,Westwood                           ,MA   ,02090          ,Security                                                                                            ,Non-Payment of Wage                               , , , , , , , , , , , , ,Yes, , , , , , , , , ,1328815
3/2/2026,Advanced Home Care                                                                                                                                    ,Framingham                         ,MA   ,01701          ,Hospitals/Nursing Home/Healthcare                                                                   ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1328661
3/2/2026,American Ag Energy                                                                                                                                    ,Cambridge                          ,MA   ,02138          ,Services                                                                                            ,Non-Payment of Wage                               , , , , , , ,Yes, , , , , , , , , , , , , , , ,1328675
